danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0.708,0.804,4,-7.106,major,0.0516,0.13,0,0.339,0.78,123.449,232773,4
0.755,0.876,0,-8.867,major,0.0362,0.357,5.17E-06,0.22,0.951,102.762,174827,4
0.64,0.583,8,-7.734,major,0.0485,0.055,0,0.496,0.435,79.966,240973,4
0.623,0.624,9,-5.864,major,0.0757,0.161,0.0149,0.278,0.535,87.02,181427,4
0.653,0.66,6,-4.966,major,0.0511,0.373,0,0.684,0.643,87.958,174785,4
0.233,0.0198,2,-27.473,major,0.0427,0.976,0.112,0.0651,0.0574,96.966,390573,4
0.567,0.94,3,-5.161,major,0.049,0.515,3.51E-05,0.441,0.967,84.188,178013,4
0.175,0.277,7,-12.447,major,0.0345,0.843,0.001,0.254,0.317,138.29,167533,4
0.582,0.14,10,-12.855,major,0.0364,0.956,0.00144,0.135,0.214,128.338,232987,4
0.365,0.52,9,-6.52,major,0.0331,0.545,0,0.111,0.388,106.152,237267,4
0.646,0.828,8,-8.342,major,0.038,0.589,0,0.0613,0.534,93.185,181227,4
0.766,0.742,1,-6.206,major,0.169,0.0793,0,0.0871,0.898,124.076,197604,4
0.739,0.249,0,-10.648,minor,0.0478,0.741,0.728,0.122,0.454,130.818,249920,4
0.449,0.585,5,-6.762,major,0.0268,0.0522,8.49E-05,0.0833,0.204,139.627,278719,4
0.775,0.613,0,-9.831,major,0.145,0.0413,0,0.5,0.778,103.65,277014,4
0.586,0.476,8,-6.64,major,0.0328,0.803,0,0.122,0.275,137.193,224040,4
0.338,0.346,9,-10.353,major,0.0319,0.684,0.0251,0.107,0.382,158.308,222853,3
0.384,0.559,0,-5.51,major,0.0311,0.392,0.00543,0.138,0.481,145.002,264253,1
0.799,0.621,7,-4.992,major,0.0599,0.314,0,0.153,0.737,128.002,235040,4
0.477,0.773,2,-6.639,major,0.0267,0.19,1.01E-05,0.265,0.566,85.189,350827,4
0.242,0.91,9,-5.19,major,0.113,0.0679,3.38E-06,0.137,0.246,193.886,125013,4
0.365,0.371,7,-7.093,major,0.0672,0.063,1.83E-06,0.302,0.228,186.031,227102,3
0.814,0.855,2,-4.053,major,0.191,0.0226,0.000326,0.144,0.864,170.065,144080,4
0.625,0.681,0,-7.071,major,0.0351,0.109,0.00278,0.247,0.637,120.006,212453,4
0.606,0.457,6,-14.035,minor,0.0497,0.713,2.53E-05,0.0747,0.814,92.033,244027,4
0.825,0.435,1,-9.582,major,0.0568,0.452,0.609,0.0953,0.251,119.038,259102,4
0.582,0.818,1,-5.179,major,0.0335,0.176,0,0.137,0.322,108.983,208613,4
0.643,0.877,8,-5.805,major,0.0502,0.0683,0,0.346,0.841,130.193,215160,4
0.194,0.29,1,-10.769,major,0.0359,0.654,1.72E-06,0.0784,0.0723,69.798,334853,3
0.478,0.454,2,-8.04,major,0.0287,0.476,0,0.112,0.456,116.096,197960,4
0.49,0.193,11,-9.544,major,0.0421,0.862,9.74E-06,0.113,0.186,89.154,189507,4
0.626,0.799,11,-6.612,minor,0.046,0.000358,0.00155,0.36,0.359,98.992,274213,4
0.653,0.736,8,-8.69,major,0.0627,0.522,0,0.241,0.893,133.91,157267,4
0.175,0.923,5,-6.271,minor,0.0944,9.04E-06,0.942,0.879,0.0504,109.454,359816,4
0.585,0.717,4,-10.293,minor,0.0378,0.0662,2.87E-05,0.0945,0.529,105.505,169533,4
0.635,0.472,8,-3.869,minor,0.511,0.00898,0,0.117,0.368,174.008,170638,4
0.496,0.544,9,-10.322,major,0.0392,0.632,0,0.123,0.427,134.916,233213,3
0.7,0.823,3,-6.892,major,0.0373,0.168,2.81E-05,0.122,0.735,144.06,249493,4
0.62,0.899,1,-2.364,major,0.223,0.00181,0,0.0941,0.768,87.54,219183,4
0.556,0.839,2,-3.668,major,0.0361,0.000226,3.18E-06,0.11,0.244,117.954,219360,4
0.449,0.799,9,-3.467,major,0.0694,0.118,6.26E-05,0.238,0.215,136.304,188000,4
0.96,0.32,7,-9.713,major,0.0906,0.95,0.878,0.15,0.69,124.968,189200,4
