danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,label
0.332,0.961,0,-4.542,major,0.0867,1.17E-06,0.967,0.675,0.0387,95.081,220779,4,0
0.976,0.771,5,-8.563,major,0.221,0.084,4.94E-05,0.126,0.561,126.109,154747,4,0
0.635,0.837,1,-5.778,minor,0.213,0.293,0,0.429,0.779,95.029,227813,4,0
0.471,0.108,9,-22.826,major,0.0423,0.99,0.949,0.067,0.548,126.493,219027,4,1
0.211,0.0904,8,-27.385,major,0.0385,0.962,0.881,0.183,0.0582,82.279,103867,3,1
0.632,0.805,4,-6.989,major,0.0262,0.108,3.13E-05,0.361,0.676,97.032,281027,4,1
0.222,0.312,5,-8.897,major,0.0429,0.846,0.391,0.155,0.127,64.773,366773,3,1
0.438,0.177,0,-16.837,major,0.0339,0.937,0.956,0.298,0.465,74.999,191867,4,1
0.788,0.918,1,-2.756,major,0.102,0.129,0.000471,0.0513,0.738,124.981,263813,4,0
0.471,0.802,1,-3.599,minor,0.27,0.0125,1.45E-06,0.702,0.649,88.615,213507,4,0
0.426,0.184,2,-20.518,minor,0.0405,0.835,0.0107,0.27,0.735,157.66,163373,3,1
0.81,0.288,10,-9.971,major,0.0412,0.926,0.0107,0.236,0.941,93.266,122000,4,0
0.135,0.00925,0,-28.841,major,0.0405,0.878,0.788,0.0604,0.0389,69.321,483667,3,1
0.554,0.331,2,-13.008,minor,0.0466,0.971,0.223,0.107,0.447,184.098,218627,4,1
0.709,0.907,10,-5.063,major,0.0722,0.0388,3.13E-06,0.0873,0.425,127.953,205120,4,1
0.755,0.814,1,-6.045,major,0.285,0.245,0,0.499,0.574,87.01,392064,4,0
0.367,0.279,3,-15.758,major,0.0545,0.838,0,0.133,0.519,170.139,162213,5,1
0.438,0.464,1,-7.831,major,0.0304,0.284,0.0035,0.221,0.33,119.601,236493,4,1
0.603,0.972,11,-5.013,minor,0.0415,0.00205,0.687,0.124,0.397,145.997,185753,4,0
0.612,0.731,8,-9.147,minor,0.165,0.00926,0.846,0.151,0.748,150.005,211200,4,0
0.423,0.66,2,-7.403,major,0.12,0.0556,3.06E-05,0.134,0.646,177.954,155413,4,1
0.439,0.488,11,-14.464,major,0.0615,0.702,0.000339,0.16,0.616,93.017,308520,4,1
0.765,0.61,2,-7.408,major,0.402,0.224,0,0.0277,0.536,83.125,133012,4,0
0.488,0.222,2,-20.153,major,0.044,0.834,0.773,0.0781,0.71,140.799,151707,4,1
0.733,0.543,1,-10.002,major,0.0445,0.00213,0.000169,0.0703,0.117,106.019,293543,4,0
0.764,0.492,11,-9.429,minor,0.0348,0.0853,0.283,0.155,0.39,119.974,224653,4,1
0.701,0.817,11,-6.668,minor,0.0308,0.171,0.000168,0.114,0.958,128.001,147873,4,1
0.524,0.6,0,-6.767,major,0.0352,0.36,0.013,0.341,0.685,112.682,115773,4,1
0.902,0.186,2,-9.832,major,0.0502,0.913,0.617,0.176,0.763,101.975,195533,4,1
0.706,0.947,1,-4.654,major,0.182,0.0176,0.598,0.0529,0.299,99.976,202933,4,0
0.669,0.559,0,-7.509,major,0.0651,0.555,0,0.184,0.429,104.999,158333,4,1
0.435,0.456,6,-10.305,major,0.0279,0.136,1.62E-06,0.124,0.529,107.529,185440,4,1
0.341,0.192,0,-18.539,major,0.041,0.934,0.872,0.218,0.428,78.142,194787,4,1
0.703,0.911,5,-6.015,major,0.0275,0.267,0.056,0.17,0.943,127.974,220280,4,1
0.881,0.774,1,-6.068,major,0.0439,0.00986,0.0346,0.206,0.761,112.968,182627,4,0
0.684,0.896,9,-4.239,major,0.144,0.0366,5.76E-06,0.292,0.432,129.942,211800,4,0
0.477,0.523,0,-7.028,major,0.0442,0.624,0,0.126,0.299,163.921,225109,4,1
0.6,0.0883,0,-26.769,major,0.0548,0.916,0.926,0.155,0.574,124.042,100867,4,1
0.55,0.154,7,-14.917,major,0.0539,0.808,0,0.184,0.776,82.126,226200,4,1
0.485,0.619,5,-7.115,minor,0.0289,0.0941,3.31E-06,0.109,0.424,138.017,242373,4,1
0.531,0.243,3,-11.735,major,0.0327,0.876,6.07E-05,0.12,0.261,132.032,259160,4,1
0.481,0.809,8,-6.019,major,0.0408,0.0326,5.08E-06,0.0424,0.703,84.926,221533,4,1
0.779,0.37,0,-7.263,major,0.188,0.886,1.24E-05,0.21,0.884,180.182,97600,4,1
0.892,0.962,0,-4.603,major,0.204,0.00338,0.399,0.103,0.25,126.97,213960,4,0
0.701,0.885,2,-6.81,major,0.0614,0.132,0.000197,0.0657,0.732,121.54,253733,4,0
0.621,0.59,2,-9.031,major,0.0304,0.548,0,0.269,0.562,110.049,249027,4,0
0.405,0.76,7,-4.863,major,0.0407,0.0091,0,0.375,0.295,109.875,220333,4,1
0.576,0.827,2,-6.236,major,0.312,0.00204,0.00101,0.145,0.411,153.167,193125,5,0
0.641,0.954,6,-2.31,major,0.276,0.0373,0.00104,0.785,0.663,90.046,231333,4,0
0.76,0.777,1,-8.144,major,0.0369,0.165,0.00716,0.19,0.708,123.033,221773,4,1
0.507,0.665,0,-7.598,major,0.0474,0.0144,0,0.0759,0.406,126.879,213338,4,1
0.452,0.179,9,-11.165,major,0.0824,0.899,0,0.178,0.108,121.488,268867,4,1
0.367,0.441,2,-9.222,major,0.0326,0.356,0.000117,0.261,0.461,112.962,278680,3,1
0.299,0.38,8,-8.739,major,0.0299,0.698,1.83E-06,0.0883,0.112,88.377,221240,4,1
0.274,0.0591,5,-22.027,minor,0.0484,0.984,0.665,0.156,0.0725,89.426,320293,4,1
0.867,0.517,11,-13.222,minor,0.0875,0.00456,0.000339,0.0864,0.863,133.148,257360,4,0
0.773,0.646,8,-4.902,major,0.125,0.079,0.000297,0.0866,0.871,135,271507,4,1
0.551,0.561,7,-12.516,major,0.0483,0.325,0,0.0827,0.797,123.182,222333,4,0
0.784,0.802,8,-7.572,major,0.315,0.158,0.00882,0.108,0.514,92.978,167488,4,0
0.625,0.676,0,-7.059,major,0.036,0.115,0.00277,0.248,0.621,120.019,212453,4,1
0.352,0.431,5,-7.23,major,0.0326,0.175,6.21E-06,0.105,0.177,128.572,261000,4,1
0.506,0.919,5,-3.952,major,0.0366,0.116,0,0.349,0.797,164.108,186320,4,0
0.781,0.489,6,-7.488,major,0.131,0.596,0,0.104,0.52,120.027,248159,4,1
0.166,0.382,0,-7.555,minor,0.0462,0.95,0.00564,0.112,0.168,84.33,204373,4,1
0.736,0.773,1,-5.092,major,0.0433,0.0121,0.00531,0.333,0.268,103.026,211023,4,1
0.531,0.925,9,-6.446,major,0.22,0.275,2.48E-06,0.905,0.625,112.092,267867,4,1
0.586,0.213,0,-11.406,major,0.0284,0.853,0,0.177,0.284,82.921,221773,4,1
0.394,0.508,0,-7.917,major,0.0493,0.566,0,0.0348,0.533,151.104,163240,4,1
0.697,0.527,1,-7.958,major,0.08,0.0148,0,0.0912,0.13,132.895,276569,4,0
0.747,0.81,2,-3.282,major,0.128,0.229,0.000194,0.369,0.774,82.52,311267,4,0
0.585,0.738,2,-5.727,minor,0.0271,0.461,2.51E-05,0.274,0.595,107.947,185373,4,1
0.458,0.794,6,-6.751,major,0.0376,0.541,0.00105,0.101,0.492,126.951,294720,4,1
0.923,0.518,5,-6.008,major,0.0492,0.52,0.000142,0.104,0.693,93.023,226680,4,1
0.378,0.638,10,-5.576,major,0.075,0.02,7.66E-05,0.0849,0.762,184.086,250627,4,1
0.775,0.455,0,-8.717,major,0.0385,0.713,0,0.0832,0.628,130.337,168240,4,1
0.541,0.854,2,-6.196,major,0.155,0.0254,0.000125,0.651,0.447,86.044,205200,4,0
0.605,0.314,0,-7.631,major,0.0327,0.916,0,0.359,0.845,138.148,125867,4,1
0.923,0.518,5,-6.008,major,0.0492,0.52,0.000142,0.104,0.693,93.023,226680,4,1
0.821,0.732,2,-3.657,major,0.336,0.498,0.00113,0.12,0.796,90.983,237546,4,0
0.54,0.745,8,-7.564,minor,0.0432,0.0376,0.0128,0.116,0.277,88.573,215987,4,1
0.756,0.905,0,-2.482,major,0.0424,0.094,0,0.183,0.676,112.044,182413,4,0
0.311,0.325,2,-9.042,major,0.0283,0.0469,0,0.139,0.641,65.09,208467,1,1
0.44,0.147,2,-11.934,major,0.0515,0.983,6.00E-05,0.0914,0.304,87.517,142453,4,1
0.576,0.539,9,-7.1,major,0.102,0.59,0,0.256,0.706,102.43,180187,4,1
0.685,0.566,8,-7.976,major,0.0729,0.712,0,0.138,0.643,134.712,189830,4,1
0.696,0.708,10,-5.74,major,0.039,0.000796,0.000307,0.398,0.321,113.987,238093,4,1
0.769,0.405,6,-9.152,major,0.269,0.545,0.000887,0.0521,0.506,78.427,221213,4,1
0.568,0.441,4,-6.209,minor,0.0326,0.184,0,0.0948,0.19,136.069,209733,4,1
0.379,0.41,9,-14.768,major,0.0408,0.833,0.555,0.0644,0.709,78.519,177333,4,1
0.309,0.28,2,-12.012,major,0.0311,0.767,0,0.269,0.639,165.211,221840,4,1
0.328,0.607,2,-11.076,major,0.0315,0.319,0,0.765,0.387,146.539,213880,3,1
0.692,0.886,1,-2.519,major,0.0519,0.284,0,0.341,0.869,100.03,211013,4,0
0.612,0.84,11,-3.145,minor,0.0509,0.112,0,0.116,0.441,129.042,212862,4,1
0.687,0.846,5,-4.247,minor,0.0638,0.0873,0,0.303,0.905,157.374,73261,4,1
0.546,0.733,2,-7.073,major,0.0299,0.0399,1.11E-06,0.235,0.919,107.285,241920,4,1
0.389,0.13,2,-22.814,major,0.0367,0.887,0.326,0.086,0.532,83.679,214067,4,1
0.422,0.165,5,-20.931,major,0.0385,0.805,0.00613,0.271,0.641,144.367,187933,3,1
0.597,0.818,8,-4.91,major,0.0812,0.059,0,0.0905,0.749,156.922,56331,4,0
0.604,0.457,5,-6.942,minor,0.0304,0.753,0,0.124,0.31,136.968,223280,4,1
0.47,0.543,10,-7.756,minor,0.0372,0.741,0,0.133,0.532,125.792,146600,5,1
0.634,0.674,5,-9.75,minor,0.037,0.316,0,0.139,0.517,124.001,271853,4,1
0.778,0.879,8,-7.068,major,0.312,0.123,0,0.201,0.734,152.047,189531,4,0
0.33,0.564,3,-7.352,major,0.0492,0.729,0,0.0862,0.279,91.303,284573,4,1
0.298,0.252,2,-11.46,major,0.0342,0.444,1.77E-05,0.116,0.203,187.451,366227,3,1
0.635,0.72,1,-4.148,major,0.0451,0.00192,0.0398,0.341,0.444,126.106,188571,4,0
0.531,0.557,10,-10.794,minor,0.062,0.183,0,0.25,0.494,133.4,196800,4,1
0.845,0.576,11,-5.15,minor,0.153,0.139,0,0.0764,0.455,127.641,256027,4,0
0.5,0.624,7,-6.484,major,0.0358,0.0209,0,0.504,0.23,139.93,224387,4,1
0.749,0.745,2,-10.625,major,0.164,0.000501,0.00403,0.333,0.461,101.972,195107,4,0
0.746,0.779,6,-3.928,minor,0.268,0.0325,5.64E-06,0.301,0.533,99.906,179974,4,0
0.5,0.902,1,-4.67,minor,0.0718,0.000742,0.137,0.164,0.625,91.059,186579,4,0
0.141,0.976,1,-4.719,major,0.093,1.07E-06,0.906,0.194,0.0512,102.119,198413,4,0
0.7,0.887,9,-4.702,major,0.0399,0.302,0.000803,0.16,0.852,105.647,311547,4,1
0.772,0.242,0,-10.202,major,0.0584,0.365,0.693,0.0745,0.469,127.928,284533,4,1
0.615,0.862,10,-4.719,major,0.0663,0.693,0,0.539,0.647,96.071,302493,4,1
0.877,0.537,8,-6.035,major,0.0531,0.22,0.000642,0.118,0.801,118.954,215547,4,1
0.745,0.839,2,-5.405,major,0.0532,0.271,1.89E-05,0.0985,0.807,104.023,185067,4,1
0.181,0.948,0,-3.106,major,0.0625,2.80E-06,0.771,0.875,0.443,100.759,174196,4,0
0.273,0.0947,2,-19.465,major,0.0436,0.816,0.762,0.12,0.13,132.675,238533,3,1
0.547,0.197,10,-12.002,major,0.0303,0.941,0.000756,0.144,0.39,133.85,191827,4,1
0.449,0.523,9,-7.949,major,0.028,0.541,4.10E-05,0.162,0.563,142.438,275160,4,1
0.746,0.692,0,-4.198,minor,0.396,0.65,0,0.116,0.546,110.066,196364,4,0
0.62,0.13,1,-11.247,major,0.0862,0.936,4.89E-06,0.117,0.184,73.191,201867,4,1
0.697,0.949,0,-7.202,major,0.0353,0.0141,0,0.748,0.905,132.379,228427,4,0
0.435,0.579,0,-5.875,major,0.0297,0.625,0,0.103,0.235,109.108,334067,3,1
0.158,0.953,7,-4.517,major,0.0833,3.68E-06,0.937,0.506,0.151,106.68,277236,4,0
0.911,0.546,2,-9.792,major,0.227,0.0627,3.37E-06,0.177,0.862,91.989,91840,4,0
